speech_date,text,speaker_party,speaker_riding,speaker_name,speaker_gender
2018-01-29,"Mr. Speaker, I look forward to those amendments, and of course we will consider them very closely. As I have said, I am open to considering any amendment that makes the legislation stronger, because, at the end of the day, I agree with my colleague. This is about setting a zero tolerance culture for harassment and violence.
In terms of why there is not a definition of harassment in the legislation, we felt it was critically important to include that in the regulations so that as we move forward with different forms of harassment, we can address those quickly and rapidly without having to turn to yet another debate about what harassment is. That is the intent. It was not in any way an attempt to limit the scope of harassment. As I said in my speech, it is the full scope, from bullying all to the way to physical violence or sexual violence.
I will briefly say that with the advent of new forms of social media, such as Snapchat, all kinds of things arise in an employee-employer situation, and we want the flexibility to be able to quickly add other forms of harassment as technology and our culture changes.",Liberal,Thunder Bay—Superior North,Patty Hajdu,Woman
2018-01-29,"Mr. Speaker, I want to begin by applauding my colleague. I find it tremendously sad that we have to stand here and have this debate in 2018, trying to turn it in a different way. It needed to happen. It should have happened many, many years ago. We should not have to have an open discussion in the House of Commons, but the reality is it is necessary to have the conversation or nothing is going to change. It is about changing a culture. It is about letting all of Canada know that none of us will stand by and allow someone else to be abused or mistreated without saying something. If we are going to make a cultural change, it means each and every one of us has to do that. Otherwise, 10 years from now, my daughter and others may be standing here having the same conversation. I do not want to see that happen. 
I applaud your comments and recommendations that you put forward in such a constructive way, because it is not about partisan politics. This is about changing a behaviour and making this place safer for men and women. We are focused very much on sexual harassment of women, but let us be clear that there is a lot of harassment that goes on in a variety of workplaces, this one being no different. I did two years of work on sexual harassment in the RCMP and that was not only about women, it was also about lots of men.
 I assume that my colleague is going to encourage all of her colleagues to take the training to make sure that all our colleagues are made aware that they have an obligation to stand up and protect others who are being intimidated. I would like to hear her comments on that.",Liberal,Humber River—Black Creek,Judy Sgro,Woman
2018-01-29,"Mr. Speaker, this is a wonderful way to start off the new year. We have members from all political parties talking about what is a very important issue to all Canadians. In listening to the many comments made so far this morning and this afternoon, there seems to be a great willingness to see that positive debate continue here and also at the committee stage.
My question for my colleague would be on why it is so important that when we have this debate, it is not about one party winning over another party or anything of this nature. It is looking at an issue we all hold very close to our hearts. We understand the importance of it to all Canadians.
 Could the member provide her thoughts on some of the discussion, questions and answers, and speeches that have been made, where we have seen a good, healthy discussion on a very important issue to all Canadians?",Liberal,Winnipeg North,Kevin Lamoureux,Man
2018-01-29,"Mr. Speaker, I will be sharing my time with the member for Rivière-des-Mille-Îles.
I am very honoured to have the opportunity to talk today about Bill C-65. Our government ran on a commitment to take action on workplace harassment and violence, and I am extremely proud of this first step we are taking in the House today. 
All of us here in the House, no matter our political allegiances, have a unique opportunity. Today we can join forces and take a stand together. We can send a strong message to all Canadians that workplace harassment and sexual violence is unacceptable, period, and that it will not be tolerated any longer.
Sexual harassment and violence in the workplace is nothing new. Certainly in my career I have experienced sexual harassment and bullying. I think it would be difficult to find a woman who has not, to one degree or another. 
I am particularly pleased that this proposed legislation would also include MP staff, which is a group I feel is particularly vulnerable because of the nature of their work on the Hill. I certainly experienced it. My first job after university was right here in this place working for a true gentleman, London West MP John Burghardt. I recall one incident in particular when, after an evening reception, a male MP made completely inappropriate sexual advances toward me. I walked out and never told anyone, including my boss, because I was fearful of the consequences to my career and to my reputation.
 Sadly, little has changed since the early 1980s. The power dynamic that exists on the Hill makes it a workplace that is a perfect storm for harassment and bullying. I worry about our staff, in particular our female staff, and I echo the comments made by my colleague from Milton. If staff members have an issue, regardless of party, they should not hesitate to come to me to talk about it. 
High-profile cases are dominating the headlines day after day. The problem is both pervasive and far-reaching. In fact, just more than one in 10 Canadians say that sexual harassment is “really quite common” in their workplace. Another 44% say that, while it is infrequent, it does happen. I suspect those statistics are quite low.
The hashtag movements, #MeToo, #AfterMeToo, and Time’s Up, are the result of people, women and men, who thought it was important to show the world how pervasive and common harassment and sexual violence are in our lives, and they found the courage and strength to speak up. 
Make no mistake; workplace harassment and sexual violence exist not only in high-profile professions but everywhere around us. The reality is that it has always been everywhere. We just ignored it or simply looked the other way, because of fear of reprisals or being labelled a troublemaker, or because norms in the industry made us feel we had no choice. 
We know that harassers and abusers have used their power and influence to indulge in behaviours that were not only thinly veiled but generally accepted by their colleagues. The difference now is that not only are survivors speaking up but we are opening our eyes and paying attention. We are talking about just how pervasive harassment and sexual violence really is, and how important it is that we do everything we can to eliminate it.
There is momentum right now, and we must take advantage of it because it gives us a unique opportunity. Our government is taking action to do just that. In November, our government released a report on what we heard during consultations on workplace harassment and sexual violence. With Bill C-65, we would take strong action to ensure that federal workplaces are free from these unacceptable behaviours. 
Our government is seeking unanimous consent on this bill, and I am hopeful that this proposed legislation will be endorsed by all members. I am also hopeful that we can join forces to send a clear message to Canadians that harassment and sexual violence in the workplace or anywhere are intolerable and unacceptable. This message should come not from one political party but from all parties. We can show Canadians that we are united in our intention to put a stop to workplace harassment and violence.
When people come forward, they need to know that they will be protected and supported through strong measures and that their careers will not suffer as a result. It is our responsibility as parliamentarians to put these measures in place. Canadians need to feel safe at work, regardless of where they work and for whom they work, and that applies to employers and workplaces across Canada, including the federal public service and right here on Parliament Hill.
Recently I had the privilege of visiting five corrections facilities in Edmonton and speaking with the dedicated staff who work there. The situation at Edmonton Institution for men was a cesspool of bullying, violence, and sexual harassment—an environment so toxic that the independent report said that there would be great challenges in changing the culture there. Significant steps have been taken, but the road to recovery will be challenging.
I had the opportunity to speak to some of those who had worked throughout the years in this toxic workplace. When I asked one female parole officer if she had hope that the situation would improve, she looked at me and said that I was it. As federal corrections officers, these staff would be covered by Bill C-65, and they deserve our support. We owe it to them and to employees across Canada to ensure they can go to work every day and know they will be safe from a culture of bullying and sexual harassment.
Bill C-65 would give employers the tools they need to adequately address and deal with harassment and violence, including sexual violence, in the workplace. We are also strengthening compliance and enforcement mechanisms under the Canada Labour Code in order to increase workplace health and safety, and better protect workers' rights. The use of monetary penalties and the authority to publicly name violators are just some of the changes announced to make workplaces healthy, safe, and productive places.
Bill C-65 is based on our research, on our consultation, and on what Canadians have said they need when it comes to preventing and dealing with harassment and sexual violence in the workplace.
Last year, we released the report “Harassment and Sexual Violence: What We Heard”, which summarizes a series of engagement activities we undertook with the Canadian public, unions, employers, non-governmental organizations, academics, and other experts. We made sure that a wide range of voices were heard to support evidence-based policy development and implementation, and held online public consultations as well as a series of round tables with stakeholders and experts. 
Some of the findings were striking. Of the more than 1,300 people who responded to our online survey, a full 60% reported having experienced harassment, 30% said they experienced sexual harassment, 21% reported experiencing violence, and three per cent said they had experienced sexual violence. Incidents are under-reported, often due to fear of retaliation. When they are reported, incidents are not dealt with effectively. Some 41% of survey respondents stated that no attempt was made to resolve an incident they reported. Women are more likely than men to experience sexual harassment, and people with disabilities and members of visible minority groups are more likely to experience harassment than other groups.
It comes down to this: workplace harassment and sexual violence are unacceptable behaviours that have been going on for too long. Canadians want and need their government to do something about it and to lead the way. That is exactly what we are doing in Bill C-65. I am asking each of the members of Parliament in this place to rise to the occasion being presented to us today. Take a stand and show constituents that we care about making workplaces safer for everyone.
While this issue continues to make headlines, we must ensure it is not a popular movement that will fade away before any real changes are made. We need to do something now to correct the course we have been on for too long. I recently read a comment by former journalist Jennifer Mossop who stated that it is time. It is time for mutual respect and genuine and sincere public discourse to take us to the next level. 
This needs to end now. Bill C-65 is going to help make that happen. Let us all support it together. It is time.",Liberal,Oakville North—Burlington,Pam Damoff,Woman
2018-01-29,"Mr. Speaker, the member is absolutely right. We did a lot of work studying violence against young women and girls. Certainly cyber-violence was a large part of that, and the fact that young women and girls are subjected to unprecedented violence online. We mistakenly often call it cyber-bullying, and we need to call it out for what it really is, which is cyber-violence.
We looked at a number of models. He is correct: that model was one we recommended. The government, as part of a broader package of looking at gender-based violence in general, is taking online violence very seriously, and certainly so is the Minister of Public Safety. I cannot speak on behalf of the government, as a backbench member of Parliament, but I know it is something I have had discussions with various departments about, and it continues to be a top priority for them.",Liberal,Oakville North—Burlington,Pam Damoff,Woman
2018-01-29,"Mr. Speaker, it is important for us to recognize that the national government has a leadership role to play that goes even beyond the areas we regulate. Taking initiatives of this nature result in positive spinoffs in other jurisdictions. 
One thing I have taken from this debate, and I commented on it earlier, is the support we are receiving. There has been all-party support for this initiative. 
Could she provide her comments on that?",Liberal,Winnipeg North,Kevin Lamoureux,Man
2018-01-29,"The member is absolutely correct, Mr. Speaker. I am heartened when I come into this place, listen to the debate, and recognize that all parties, regardless of the differences we may hold on other policies, are united on this item in particular. 
This reverberates far beyond the walls of the House. When members of Parliament talk about bringing forward legislation on harassment and bullying, we are sending a message to all Canadians, to all businesses, to all workplaces that it is simply unacceptable and the culture needs to change. 
By having these conversations, we will start to move the needle. It will not be easy and it will not be this one conversation that will make change. This needs to continue beyond Bill C-65. It needs to continue with respect to how we conduct ourselves both in public and with our staff. It needs to be top of mind in our conversations with constituents. We can have a strong leadership role to play across the country.",Liberal,Oakville North—Burlington,Pam Damoff,Woman
2018-01-29,"Mr. Speaker, I am immensely pleased and honoured to rise today, and, since this is the first time I am speaking in 2018, I would like to extend greetings to my hon. colleagues who are now back in the House. 
 I am very enthusiastic about speaking today in support of Bill C-65.
I am deeply convinced that all Canadians breathed a sigh of relief when they learned that this bill was being introduced. Clearly, sexual harassment and violence in the workplace must end now.
 Today, our government is taking the necessary steps to do just that by setting an example. I would also like to point out that all parties support this bill. There is no room for partisanship when it comes to Canadians’ fundamental rights.
 In my humble opinion, this is an historic moment for Parliament. Not only will this bill govern these matters for workers under federal jurisdiction, but, more importantly, it will also send a clear message throughout the country that there is no place for such behaviour in Canada. End of story. The time has come to speak strongly and clearly, and to take action. In this respect, Bill C-65 is clearly a big step in the right direction. 
The news stories of the past few weeks are a stark reminder that workplaces are still not free from sexual harassment and violence. Social media has given us a clearer idea of the scope of the problem. It is high time that we introduced legislation that will protect federal workers. The bill is intended for workers in banks, communications companies, and the air, rail and marine transportation sectors, as well as federal government employees, of course. 
 Studies by Abacus Data revealed that more than one in 10 Canadians say that sexual harassment in the workplace is quite common, while 44% of Canadians report it does happen, although infrequently.
Our government pledged to solve the problem, and we are now fulfilling our promise. Bill C-65 allows us to send a clear and strong message as members of Parliament.
 It enables us to take a stand and say that this has to stop. Employers must clearly understand their responsibilities and take the necessary measures to eliminate this scourge on society. Sexual harassment and violence in the workplace hinder economic development and affect Canadians who are trying to join the middle class.
 Although women are more likely than men to be victimized by such behaviour, visible minorities, low-income individuals, people with disabilities and members of the LGBTQ+ community are also targeted and remain more vulnerable.
 Victims and their families suffer major repercussions, but so do their employers. Victims can experience stress, depression, or anxiety, and employers must manage this situation in their place of business, a situation that leads to absences, sick leave, decreased motivation, and high employee turnover. Our country really has no room for this type of behaviour. Our economy and our international reputation would gain considerably from the enactment of this bill. It is time that we took a stand once and for all. 
 We all know someone who has been the victim of sexual harassment or violence at work. It could be a sister, a brother, a co-worker, or a friend. It is our responsibility to take the necessary measures to eliminate this problem. Bill C-65 is certainly a key measure. It will bring about a radical change in the way we perceive employer-employee relations. I therefore ask all of my hon. colleagues to support this bill, which will usher in a new era of labour relations in Canada, and even here in Parliament.
 By amending the Canada Labour Code and the Parliamentary Employment and Staff Relations Act, we will be joining forces to prevent harassment and violence, respond more effectively to complaints, and provide better support for victims and employers.
 In conclusion, not only is this bill a good thing for society, it is indispensable.
 Everyone wins with this bill, including victims, families, co-workers, and, of course, employers.
 As I mentioned earlier, this bill is a huge step forward for the cause, and we may soon see a truly equitable working environment for all Canadians.
 This is a necessary change in culture, and I am proud to be supporting this bill today.",Liberal,Rivière-des-Mille-Îles,Linda Lapointe,Woman
2018-01-29,"Mr. Speaker, I would like to thank my hon. colleague for his question.
 With regard to any amendments that might be made, I have to say that I am not on the committee that will be studying this bill. However, it would be advisable to pass this bill.
 It is unacceptable that people are being victimized. Obviously, victims of harassment in the workplace have higher absenteeism rates and are more likely to suffer from anxiety and depression. This is a situation that must absolutely be prevented.
 We cannot afford to lose employees in today’s job market. The unemployment rate is so low. More than 700,000 new jobs have been created in Canada in the past two years. We must make sure that all workers without exception have access to a healthy work environment. This will ensure productivity for both employees and employers.",Liberal,Rivière-des-Mille-Îles,Linda Lapointe,Woman
2018-01-29,"Mr. Speaker, I want to thank all our colleagues today for the very moving speeches about this very important topic. I know our staff members are very busy, but I hope they are able to hear what has been said in debate so they can see how important this is and know that harassment in this workplace, in any form, is unacceptable. 
I remember when I was a young woman just getting into journalism. Back 45 years ago, we were told that if we wanted to work in a man's world we had to put up with almost everything. We did, and it was wrong. It was wrong in so many ways. We all have stories over the years of things we have had to put up with, but as the saying goes, “time is up” and we must move forward. 
We cannot wait for the bill to go through. We must act now. Does the member have any advice as to what we can do now in our workplaces to ensure our employees feel safe?",Liberal,London West,Kate Young,Woman
2018-01-29,"Mr. Speaker, I would like to thank my hon. colleague for her question.
 My hon. colleague is from the world of journalism. I am also from a traditionally male-dominated field. I was the only woman who owned a grocery store or supermarket, so I was an easy target. I, too, probably put up with comments that I should not have tolerated.
 I am thinking about my daughters. We need a change in culture, whether it is for my daughters or for our female co-workers. We cannot afford to lose anyone who is involved in our society’s economic development. We cannot. All of these people must be active and find their own way. The culture needs to change.
 If we as women hear unacceptable comments, we must say so and report them right away, both for ourselves and for our employees.
 With respect to the date when the measures will be implemented, I would like to point out that the bill is in its second reading. The sooner we pass the bill, the clearer our message will be. We will then be able to effect change more quickly. It is very important for everyone here, but also for everyone who is watching us, everyone who works with us, and everyone who works under federal jurisdiction. We must send a clear message: these things are unacceptable and they must be reported. We must not put up with these comments.",Liberal,Rivière-des-Mille-Îles,Linda Lapointe,Woman
2018-01-29,"Mr. Speaker, when I spoke earlier this afternoon, I was quite hopeful this debate would continue to be a non-partisan. We heard amazing speeches this morning from the minister, the member for Jonquière, and the member for Rivière-des-Mille-Îles. The member for Calgary Nose Hill  gave a powerful speech this morning. Earlier we had a question for the member for Berthier—Maskinongé, which received a standing ovation from all hon. members. Thus, I am really disappointed the member for Lethbridge chose this opportunity to turn her intervention in the House into a partisan speech. 
Would she clarify that a survivor coming forward has an ability to appeal to the minister who in turn can appoint the deputy minister to respond? If the employee is not satisfied, he or she can appeal to the Federal Public Sector Labour Relations and Employment Board. The board can rule or turn it over to the Speaker who can intervene.
Would the hon. member clarify the record on the actual process that can take place?",Liberal,Oakville North—Burlington,Pam Damoff,Woman
2018-01-29,"Mr. Speaker, to press the member across, it was an absolutely legitimate question. She implied there was no appeal process. Clearly, there is an appeal process. Would she like to correct the record?",Liberal,Cape Breton—Canso,Rodger Cuzner,Man
2018-01-29,"Mr. Speaker, I very much enjoyed the discussion, debate, and dialogue that has been taking place on this important piece of legislation. It is encouraging when parties on all sides of the House come to agreement. 
When I look at the overall framework of the legislation, there are three words that come to mind: prevent, respond, support. We think of preventing incidents of harassment and violence, we respond effectively to these incidents when they do occur, and with regard to support, we support victims, survivors, and employers.
Could the member provide some thoughts on those three words?",Liberal,Winnipeg North,Kevin Lamoureux,Man
