speechdate,speechtext,speakerparty,speakerriding,speakername,speakergender
2018-01-29,"Mr. Speaker, I appreciate the member's passion today in his speech, but it is going to require more from all of us than speeches in this place or the best intentions. This is going to require an incredible amount of hard work and breaking down structures that have existed for 150 years inside this House. It is going to take all of us rolling up our sleeves, digging in at the committee level, dropping our partisan hats at the door, and making sure that we are committed to making policies better for people who live and work in this place and in this city and who watch us from across the country. We really need to be committed to that. 
This is not about patting each other on the back and saying that we are doing a great job. I do not want any kudos for the work we are doing here. I want not one more person to experience harassment here. That is going to take work. 
One of the things it is going to take is an openness to amendments at the committee level. I have heard arguments today about the definition, something the NDP believes strongly must be part of the legislation. I understand the importance of it in the regulation, but there is no harm in making sure that we go above and beyond in this work and not do just the bare minimum.
I am hoping that the member will express today that they will be open to amendments in a non-partisan way to ensure that when we are finished with this legislation, we have done our very best and have left those partisan hats at the door so that every person going forward will benefit from this hard work.",New Democratic Party,Essex,Tracey Ramsey,Female
2018-01-29,"Mr. Speaker, I would like to thank my colleague for her speech.
Indeed, it is nice to see everyone in the House of Commons united around a bill that we all seem to agree on.
I heard my colleague say that she would like to set limits and get rid of some exceptions. Quite often, and rightly so, I believe victims are praised for their courage and told that they will be believed. That is wonderful. Victims must be supported. However, if we were to better define the crimes in question, I think that would help make reporting them less of an act of courage. It would just be enforcing the law. I cannot help but think that a publicity campaign or information campaign needs to be defined.
I am 55 years old. When I was little, no one even talked about seat belts, and people smoked in cars with the windows closed and with kids in the car. Some things are just not done anymore. We do not throw stacks of paper in the garbage. There have been awareness campaigns.
An awareness campaign should force men to look in the mirror and realize that they need to make some changes. Could this be defined in the context of this bill? Can we expect this to be addressed in committee?",New Democratic Party,Longueuil—Saint-Hubert,Pierre Nantel,Male
2018-01-29,"Mr. Speaker, I listened carefully to my colleague's passionate speech. She highlighted a number of important details about the bill, but I would like to go back to the definitions, which are just as important.
There can be such a thing as too many definitions when the time comes to go to court or make legal decisions. An overabundance of definitions can be restrictive. The flip side is a legal vacuum, and definitions can vary from one country to another. When it comes to defining harassment, a person can say they have been physically harassed or even assaulted, and there is also the definition of psychological harassment. It varies from person to person. 
I would like to know what my colleague thinks about the importance of including definitions in Bill C-65. Does she think the government will agree to the amendments about definitions that the NDP is going to propose in committee?",New Democratic Party,Jonquière,Karine Trudel,Female
2018-01-29,"Madam Speaker, I would like to congratulate my colleague on her speech. I would like her to tell us how Bill C-65 will apply to organizations with collective agreements. 
For example, how will Bill C-65 and the collective agreement apply in resolving a harassment complaint that has gone to arbitration and where there is proof of harassment?",New Democratic Party,Jonquière,Karine Trudel,Female
2018-01-29,"Madam Speaker, I am going to be sharing my time with the member for Essex. I am honoured in this astonishing time to be speaking to the vitally important issue of sexual harassment and violence in our public dialogue and in our workplaces. 
I am going to talk about the brave young women who are coming forward, the legacy of social justice women's rights activists on whose shoulders we stand. I am going to talk about the support of my party, the NDP, for Bill C-65. I am going to affirm that no party is immune to the revelations and bad behaviour that are being reported. I am going to talk about the cost of shutting women out of politics. I am going to talk a bit about some of the changes to the bill that would help us to make it even better protection for workers.
The imperative for us to take this action as parliamentarians is fuelled by the terrible stories that we are hearing. I have a quote from a former parliamentary staffer, Beisan Zubi. She said that being a parliamentary staffer on the Hill was “a crash course in sexism and sexual harassment”. She said, “But if I’m being honest, I would have also warned them to stay away, that Parliament Hill, in my experience, was a fundamentally unsafe place for young women.” How can that be said about the Commons, the place for the people? Lauren Dobson-Hughes said, “You take your cues from people around you who are in positions of power, and if they don't think that's weird, if that didn't even momentarily give them a second glance, then you think, 'Maybe the problem is me; maybe that's just normal.'” It is not normal. 
More than anything, I want to state it is a privilege for us to be in this House and to be able to make permanent change at this historic time. I want to honour the brave women who, after decades of holding these stories back, are risking themselves and their reputations and are telling their stories and ringing the alarm on deeply embedded sexism and violence in our common discourse and in our workplaces, including this workplace here. I recognize the great cost to women for coming forward. I want to say to them that I am really sorry it happened to them and that we are going to honour their bravery by doing the right thing here in this House. We recognize that we have the highest responsibility to act on the respect and importance of the words that we have been given. This is the global #MeToo movement. This is Time's Up, and time is up. 
We are determined to ensure workplaces in this country are safe from sexual harassment. We know all workers everywhere deserve and are entitled to a safe and secure environment. The work before us today is to make sure there is zero tolerance for harassment and violence in our workplaces, and that when it does happen, there must be a transparent process where the complainants are confident that they will be treated with respect and privacy, and those who are accused know there is a process that will be adjudicated, and the public will have an idea about what that process is.
The labour minister's proposal, Bill C-65, amends the Canada Labour Code to include sexual violence and harassment, and it attempts to do a similar thing within parliamentary workplaces where the concern about parliamentary privilege has even prevented the Canada Labour Code from having effect in our constituency offices across the country and here on the Hill. I am very grateful to the labour movement for identifying changes that we can put in place that would improve the bill and also to my colleagues, the member for Saskatoon West, our former labour critic, and the member for Jonquière, our current labour critic, because the work by them and their staff is building our case and we are going to make this legislation even better.
I want to give thanks to the men in the NDP caucus who I serve with, as well as the members of Islands Trust Council, where I served for 12 years. I personally have had a very good experience as an elected woman in politics, maybe because Islands Trust Council had an exactly gender balanced 26-person council. Maybe that had something to do with the change in tone. However, what we are talking about today is the experience of workers and not so much about parliamentarians.
I want to acknowledge that if we can get more women into Parliament, they will change the tone. “Add women, change politics” is something we hear a lot. They will change the tone and also enact policies. We have seen across the world that by removing barriers to women's participation in public life, systems and countries protect all vulnerable people better than we do right now. We have seen this in other parts of the world. Canada is, sadly, really behind the ball on this.
The status quo policies that we have had in this Parliament have meant that the number of women elected to office has stalled out. If we could bump that number up, it might be that we would have less sexual harassment. We heard that specifically, maybe nine months ago. Daughters of the Vote was a beautiful initiative on International Women's Day, but one sister, Arezoo Najibzadeh, powerfully and symbolically left her seat empty to represent the cost of violence against women that keeps women from participating in public life and prevents them from taking their seats. Hands were raised to that sister. Both the member for Hochelaga and I saluted her efforts on that day. She is a reminder to me that we need all the diversity of voices in this House to change the country and bring proper representation. 
That is the cost of keeping political staffers in an unsafe place and causing women to say that Parliament Hill is not safe for them. This is the power of social media. It makes it possible for us to transmit these stories, and it is bringing down some pretty amazing political leaders right now. Again, we are in quite a time.
I want to also acknowledge my Aunt Kim Malcolmson, who I have talked about in the House before. She was a pay equity commissioner. She was very challenging for my old grandfather. She was a hard-core feminist, a CCF-Waffle Party-Tommy Douglas aficionado. She shaped me enormously. She is in palliative care. On Friday morning, my fabulous Uncle Paul Barber told her that Patrick Brown had been forced to resign his seat, and although it was very hard for her to speak, she demanded to know more details. On Saturday, I was able to visit her in the hospital and let her know that the New Democrats were going to return to Parliament by calling out the need to act to end violence against women and sexual harassment, and at the end of the week we were going to be celebrating the two-year anniversary of the successful motion from me and the member for Jonquière in the House to legislate pay equity. I was able to let Kim know that we were coming into Parliament fighting. That was on Saturday, and yesterday she passed away. 
I like to think, because she was a woman who knew she was going to Heaven, that she is looking down on this amazing time that we are living in and seeing that the work that has been done is carrying on and that the young women leaders in this country, with their deep bravery and astonishing ability to tell stories, are changing the way we will go forward with this legislation. 
The labour movement is urging changes and New Democrats will be urging changes in committee. We are glad that with the new House leader of the NDP, we were able to accelerate the passage of this bill. We will debate its details and get changes as fast as we can so that we can make politics a safe place for all members of our country.",New Democratic Party,Nanaimo—Ladysmith,Sheila Malcolmson,Female
2018-01-29,"Madam Speaker, I am really proud that 43% of the New Democrat candidates nominated for the federal election slate in 2015 were women, and we elected a 40% female caucus. I have a lot of strong women around me today. That is borne out again and again. If political parties offer women, voters say yes to women. I believe the Conservative Party nominated 17% women and about 16% to 17% of its caucus is female, while for the Liberals it was 30% and 30%.
My colleague, the member of Parliament for Burnaby South, proposed a private member's bill that would have given incentives for political parties to nominate more gender-balanced slates. Unfortunately, a feminist Liberal government voted that down, which was very disappointing.
 We are now looking to the Liberals to see what they will bring to this Parliament that might also give political parties incentives. In the meantime, they could do what the NDP does: Riding associations are not allowed to go to a nomination vote until they show that they have exhausted all equity candidate nomination possibilities.",New Democratic Party,Nanaimo—Ladysmith,Sheila Malcolmson,Female
2018-01-29,"Madam Speaker, I want to thank my colleague for her intensely personal speech. Her story about her godmother or her aunt who was so devoted to these issues until her last breath was really quite moving.
I can assure you that we are all happy to see that all parties and nearly everyone here welcomes this bill and realizes the critical need for it.
A few points have been addressed more than once today, including, for example, the fact that the bill does not define what needs to be regulated. The courage it takes to report this behaviour was brought up many times. 
Does my colleague believe that if we came up with a clear definition of these actions, we could create better awareness campaigns that would point specifically to the exact kind of “off-colour” behaviours that we want to stop?",New Democratic Party,Longueuil—Saint-Hubert,Pierre Nantel,Male
2018-01-29,"Madam Speaker, the hon. member asked a fair question. I am reminded of the words of Carleton University's Jennifer Robson, who said that harassment policies on paper do not work if workers do not have all the information and, most of all, the trust. That is up to us.
 However, the member is quite right that getting as much detail as we can in here right now would make implementation and understanding much easier to get at, both from the side of the employer and from the side of the worker. We have heard concerns, for example, that the bill may not protect the privacy of the people coming forward, as much as it might, when the competent person selected as their mediator is a co-worker. It is not clear what the actual penalties for the employers would be, whether that is a federally regulated industry or, in this case, a member of Parliament. Also, it is not clear how anonymity and privacy would be protected.
 There are many details we will be taking in good faith to committee, and we will try to make this as specific as possible. That is what our brothers and sisters in the labour movement have called for.",New Democratic Party,Nanaimo—Ladysmith,Sheila Malcolmson,Female
2018-01-29,"Madam Speaker, I want to dedicate this speech to all women who have come forward as part of the #MeToo and Time's Up movement. I want to thank them for their courage and strength. I also want to express my extreme, deep frustration that it continues to take women laying themselves bare for the public in order to agitate for change. We need to do better.
 Today, I hope I am passing through the House one small part of their voices, voices that have reached out to me on social media, sending emails, and who have been thankful for those of us who are sitting in the House agitating for this change.
Women in our country are raising their voices in unison around this issue in a way we have not seen for a very long time. I am reminded of what my colleague for Nanaimo—Ladysmith mentioned of the 338 women who sat in the House in March 2017, of the power and passion they brought, of they their deep desire and hope for a political career in the House someday, which extends beyond just our seats here. It extends to everyone who works to support us in the House, right down to our pages who help support us every day. I want more than anything for all of them to be free to pursue this career and to pursue this life free of harassment. I want them to see that day come. I do not want them to have to be worried about bracing themselves to face the toxic workplace they are reading about, watching and learning about.
I came from the labour movement. I worked in an auto manufacturing facility. I was one of 15% of women in that workplace. However, being part of a union environment, having the protections, policies, and clear and very defined definitions of harassment in the workplace, went miles to ensure that everyone in that workplace understood their responsibility in doing better.
 I commend those in the labour movement. They have done an incredible amount of work to eradicate this behaviour. We are not going to have to look too far for policies that work in the public, labour, and our communities because they exist. We simply need to ensure they exist here as well.
The behaviour we are talking about is not new, as has been raised by a lot my colleagues today. However, it can and must change. It is going to take all of us. To start with, there can be no more whisper campaigns in the House. There can be no more women who are warning other women about who to stay away from or who not to be alone with. That is unacceptable. It is a very deep part of our culture here. Women have been trying to protect women through these very subversive campaigns. No more to that. It has to come out to the light of day. We have to shine a light on it. We have to challenge that behaviour each and every time we see it, not just the women in the House. Every man sitting in the House has to challenge it from other men on a constant basis. Only then will we strive to create a workplace that is safe, without these hiding places and excuses for this behaviour. It is the excuses that have allowed it to continue to breed.
Earlier a colleague mentioned that some had training here throughout the years. Well, clearly it has not worked. However, I recognize this work is ongoing and will take all of us working through our lifetimes to continue to improve it, I hope, at a better pace than we have had. However, it is clear that we can and we must do better.
For people who have sat and listened to a colleague say something inappropriate and let it go by, that day is done. We can no longer do that in this place. We must challenge it. On behalf of the hundreds of thousands of people we represent from our ridings and on behalf of Canadians, we cannot allow this place to become a mockery or a toxic pool that is to be avoided at all costs. We are losing the best and brightest in the next generation by not showing them better. We all hope those young people will some day take over our seats, as those young women did on International Women's Day. 
We have to commit not just to the legislation, which is very important. I am so happy that everyone in the House provided consensus on the motion by the MP for Berthier—Maskinongé, which she brought up earlier, in getting the bill to committee as quickly as possible. It is critical that we get to the committee level and start this very difficult work, and that we do it with our blinders off and we do it honestly. We cannot bring to the committee the excuses, the hiding places, the reasons people think this is just the way it is here. We have to throw all of that to the side and really work to challenge the structures that have existed for 150 years in this place, but certainly beyond that, as one colleague mentioned earlier, for millennia, from the beginning of time.
We have to challenge it at the smallest root, the smallest comment that goes by that we might portray as harmless and that it is just what men say in a locker room or to other men. These are not harmless. This is the beginning of harm. This is the beginning of letting these things slide by until it affects one individual so badly that his or her life is forever altered. We see that happening with women in Canada right now. We see women who are being attacked on social media because they have come forward. That is unacceptable and if anyone in the House is aware of people being attacked, we also have a responsibility to speak out and say that attacking women who come forward is not acceptable. There is due process within the laws and there is due process hopefully within our workplace with this legislation going forward, but that in no way excuses us for not speaking up when we see it. We have to take that seriously.
I know there are men here, whom I work with every day, who do not support this culture, who think it is wrong, who do not behave this way, who do not condone it, and who do not teach their sons or daughters that this is okay. It is time for those men to start speaking out. Although this is impacting women, it impacts men too. We know that this is not a gender issue. This is not for the women to fix. This is for all of us to fix together.
I would like to dig into the bill that we have before us, but before I do that I want to say that an example of how women in the House are struggling to come forward, struggling within our own parties, within this structure, to be able to call this behaviour out, is the fact that we had a Canadian Press survey done for female MPs. It was anonymous and passed through all of our whips' offices in December and we had very low participation in the survey. It was extremely low. I believe it was below 40% participation of women MPs. Because we exist in a structure where we have parties that we have loyalties to, women in this place are afraid to call this out, but women need to be brave and we need to embolden the men that we sit with as our colleagues every day to be brave as well.
The bill is an important first step, but we have to go far beyond where the bill is going and that will involve the work at committee. That will mean things like a definition. We have had some conversation about a definition today, whether the definition should be in the bill itself, or whether the definition should be part of the regulatory piece that goes along with this legislation. Defining what harassment is allows us to challenge it. Without that very basis of understanding, how can we educate people in the House as to what it is? This is the very core of the work that we should be doing in the House.
I implore the government to please look at all the amendments that come forward, by taking that partisan hat off at the door, because this is work that we are doing for the future of the House. On International Women's Day last year when 338 women sat in the House, that was more women than have actually ever sat here elected. We are doing a poor job in Canada of attracting young women and this is one of the many reasons why. We need to do better. 
I ask for commitment from all of my colleagues to look at the amendments on the basis of the amendments, to put their partisanship aside, and to let us do the hard work that is necessary to change the House to a zero tolerance workplace.
",New Democratic Party,Essex,Tracey Ramsey,Female
2018-01-29,"Madam Speaker, I thank my colleague.
A unionized workplace with very clear protocols that explicitly define the type of behaviour that is not acceptable is a very good example. I would like her to provide other examples where this type of code is in place, setting out that this very specific type of offence is not to be committed. I would like her to tell us how helpful this would be.
Quite honestly, I was even surprised many times during her speech by the shocking statistics on workplaces where certain rules of silence exist. Am I naive or just lucky to have never heard about them? Earlier, another colleague told us that, according to a certain intern, working here was literally akin to working in a snake pit.
I would like my colleague to speak a little more about a code and the definitions of what should be added to this bill.",New Democratic Party,Longueuil—Saint-Hubert,Pierre Nantel,Male
